edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
725,9.171442447869678e-05,9.1714552602355e-05,-1.2812365821795035e-10,-0.12812365821795035
726,9.174299935535455e-05,9.174312280651807e-05,-1.2345116351343272e-10,-0.12345116351343272
727,9.177157426437971e-05,9.177169301068112e-05,-1.1874630140317593e-10,-0.11874630140317592
728,9.180014924007949e-05,9.180026321484419e-05,-1.1397476469467647e-10,-0.11397476469467646
729,9.182872424497945e-05,9.182883341900726e-05,-1.0917402780603423e-10,-0.10917402780603423
730,9.185729929933264e-05,9.185740362317031e-05,-1.0432383766448434e-10,-0.10432383766448433
731,9.188587436479491e-05,9.188597382733338e-05,-9.94625384622145e-11,-0.0994625384622145
732,9.191444947564579e-05,9.191454403149645e-05,-9.455585065387661e-11,-0.0945558506538766
733,9.194302458672932e-05,9.194311423565952e-05,-8.964893018930502e-11,-0.08964893018930502
734,9.197159973564384e-05,9.197168443982258e-05,-8.470417873964407e-11,-0.08470417873964406
735,9.200017487578619e-05,9.200025464398564e-05,-7.976819944778794e-11,-0.07976819944778794
736,9.202873663591503e-05,9.202882484814871e-05,-8.821223367017397e-11,-0.08821223367017396
737,9.205729891442678e-05,9.205739505231178e-05,-9.613788498922538e-11,-0.09613788498922538
738,9.208586343464831e-05,9.208596525647483e-05,-1.0182182652010147e-10,-0.10182182652010147
739,9.211442961121976e-05,9.21145354606379e-05,-1.0584941813481288e-10,-0.10584941813481287
740,9.214299704902185e-05,9.214310566480097e-05,-1.0861577911407799e-10,-0.10861577911407798
741,9.217156553522474e-05,9.217167586896404e-05,-1.103337392930326e-10,-0.1103337392930326
742,9.220013487301206e-05,9.220024607312709e-05,-1.1120011503046029e-10,-0.11120011503046029
743,9.222870494758507e-05,9.222881627729016e-05,-1.113297050811732e-10,-0.1113297050811732
744,9.225727563234612e-05,9.225738648145323e-05,-1.1084910709788816e-10,-0.11084910709788816
745,9.228584685900697e-05,9.22859566856163e-05,-1.0982660932404622e-10,-0.10982660932404621
746,9.231441855508829e-05,9.231452688977935e-05,-1.0833469105434879e-10,-0.10833469105434879
747,9.23429906572311e-05,9.234309709394242e-05,-1.0643671131547993e-10,-0.10643671131547992
748,9.237156310413321e-05,9.237166729810549e-05,-1.041939722670772e-10,-0.1041939722670772
749,9.240013587142794e-05,9.240023750226854e-05,-1.016308405940257e-10,-0.1016308405940257
750,9.242870892120332e-05,9.242880770643161e-05,-9.878522828486962e-11,-0.09878522828486962
751,9.245728221145782e-05,9.245737791059468e-05,-9.569913685743258e-11,-0.09569913685743257
752,9.24858557166659e-05,9.248594811475774e-05,-9.239809184609175e-11,-0.09239809184609174
753,9.251442942965625e-05,9.251451831892081e-05,-8.888926455703922e-11,-0.08888926455703922
754,9.254300329138679e-05,9.254308852308387e-05,-8.523169707627393e-11,-0.08523169707627393
755,9.257157731276304e-05,9.257165872724694e-05,-8.141448388848128e-11,-0.08141448388848127
756,9.260015148040788e-05,9.260022893141e-05,-7.745100212401089e-11,-0.07745100212401089
757,9.26287257468042e-05,9.262879913557306e-05,-7.338876885397827e-11,-0.07338876885397827
758,9.265730013773504e-05,9.265736933973613e-05,-6.920200108664788e-11,-0.06920200108664788
