period_number,period_s,period_error_s,period_error_ps
1181,7.812925929414033e-09,4.3561509703041445e-13,0.43561509703041446
1182,7.812909313717584e-09,4.1899940058147666e-13,0.41899940058147667
1183,7.813004680669224e-09,5.143663522218607e-13,0.5143663522218607
1184,7.813021038894762e-09,5.307245777598875e-13,0.5307245777598875
1185,7.813013129558599e-09,5.228152415964428e-13,0.5228152415964428
1186,7.81304609030753e-09,5.557759905270117e-13,0.5557759905270117
1187,7.813098946613558e-09,6.086322965560857e-13,0.6086322965560858
1188,7.813087936161026e-09,5.976218440237351e-13,0.5976218440237351
1189,7.813070480695784e-09,5.801663787820986e-13,0.5801663787820986
1190,7.813167875959297e-09,6.775616422942414e-13,0.6775616422942414
1191,7.813129982578372e-09,6.396682613698411e-13,0.6396682613698411
1192,7.81310163491995e-09,6.113206029478179e-13,0.6113206029478179
1193,7.813190533291037e-09,7.002189740341917e-13,0.7002189740341918
1194,7.813174800135156e-09,6.844858181536572e-13,0.6844858181536572
1195,7.813128146441336e-09,6.378321243331554e-13,0.6378321243331554
1196,7.813206949982177e-09,7.166356651743698e-13,0.7166356651743698
1197,7.8131952520506e-09,7.049377335969733e-13,0.7049377335969732
1198,7.813146914631463e-09,6.56600314460183e-13,0.656600314460183
1199,7.813212800892753e-09,7.22486575750715e-13,0.722486575750715
1200,7.813206255103452e-09,7.159407864494967e-13,0.7159407864494967
1201,7.81317467027484e-09,6.843559578384477e-13,0.6843559578384477
1202,7.813195871739904e-09,7.055574229011845e-13,0.7055574229011845
1203,7.813216895843043e-09,7.265815260410298e-13,0.7265815260410298
1204,7.813174270610815e-09,6.839562938126152e-13,0.6839562938126152
1205,7.813187720504683e-09,6.974061876805311e-13,0.6974061876805311
1206,7.813217899014656e-09,7.275846976536492e-13,0.7275846976536492
1207,7.813184379996474e-09,6.940656794719404e-13,0.6940656794719403
1208,7.813167044443993e-09,6.767301269905808e-13,0.6767301269905808
1209,7.813220347983418e-09,7.300336664158051e-13,0.7300336664158051
1210,7.813184948253938e-09,6.946339369355943e-13,0.6946339369355943
1211,7.813140592214914e-09,6.50277897911551e-13,0.650277897911551
1212,7.813221652346394e-09,7.31338029391941e-13,0.7313380293919409
1213,7.813184690932105e-09,6.94376615102482e-13,0.694376615102482
1214,7.813132805380043e-09,6.424910630410701e-13,0.6424910630410701
