edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ps
50414,0.00017804993485928184,0.0001780499352144786,-3.551967345928536e-13,-0.3551967345928536
50415,0.00017805326861158996,0.0001780532685477524,6.383756593807854e-14,0.06383756593807854
50416,0.00017805660245674097,0.00017805660188102625,5.757147276892127e-13,0.5757147276892127
50417,0.00017805993630883631,0.00017805993521430007,1.0945362585652252e-12,1.0945362585652252
50418,0.0001780632701043845,0.0001780632685475739,1.5568106288240613e-12,1.5568106288240613
50419,0.00017806660396147824,0.0001780666018808477,2.0806305485556664e-12,2.0806305485556664
50420,0.0001780699377727019,0.00017806993521412152,2.558580395139461e-12,2.558580395139461
50421,0.00017807327159407885,0.00017807326854739534,3.046683524018039e-12,3.046683524018039
50422,0.00017807660542693593,0.00017807660188066919,3.546266754705034e-12,3.546266754705034
50423,0.00017807993920036325,0.000178079935213943,3.986420256458866e-12,3.9864202564588656
50424,0.00017808327300619653,0.00017808326854721682,4.4589797208916054e-12,4.458979720891605
50425,0.00017808660679045728,0.00017808660188049064,4.909966652068075e-12,4.909966652068075
50426,0.0001780899405201059,0.00017808993521376446,5.306341452454712e-12,5.306341452454712
50427,0.00017809327431719853,0.00017809326854703828,5.770160268708254e-12,5.770160268708254
50428,0.00017809660804480684,0.0001780966018803121,6.164494763236599e-12,6.164494763236599
50429,0.00017809994177744867,0.00017809993521358594,6.563862747665871e-12,6.563862747665871
50430,0.00017810326773921387,0.00017810326854685976,-8.076458750292459e-13,-0.8076458750292459
50431,0.00017810659771376017,0.00017810660188013357,-4.166373396397228e-12,-4.166373396397228
50432,0.00017810993108259047,0.0001781099352134074,-4.130816904835403e-12,-4.130816904835403
50433,0.00017811326385905533,0.0001781132685466812,-4.687625871174279e-12,-4.687625871174279
50434,0.00017811659722084632,0.00017811660187995503,-4.659108697742588e-12,-4.659108697742588
50435,0.00017811993068468974,0.00017811993521322887,-4.528539124576951e-12,-4.528539124576951
50436,0.00017812326431640207,0.0001781232685465027,-4.230100604586527e-12,-4.230100604586527
50437,0.0001781265979865596,0.0001781266018797765,-3.893216898976016e-12,-3.8932168989760165
50438,0.00017812993169800205,0.00017812993521305033,-3.515048265415245e-12,-3.515048265415245
50439,0.0001781332654772724,0.00017813326854632415,-3.0690517271033457e-12,-3.069051727103346
50440,0.0001781365992378243,0.00017813660187959796,-2.6417736411438114e-12,-2.6417736411438115
50441,0.0001781399330644735,0.0001781399352128718,-2.1483983081509794e-12,-2.1483983081509797
50442,0.00017814326690378213,0.00017814326854614563,-1.6423634782265006e-12,-1.6423634782265006
50443,0.0001781466007068395,0.00017814660187941944,-1.17257992372103e-12,-1.17257992372103
50444,0.0001781499345735656,0.00017814993521269326,-6.391276537334661e-13,-0.6391276537334661
