offset_frequency_hz,phase_noise_dbc_per_hz
2729411.8134349636,-131.7310100609269
2735294.1664811596,-134.0904677855749
2741176.5195273557,-131.81623254555646
2747058.8725735517,-132.331274292521
2752941.225619748,-133.94172901739836
2758823.578665944,-137.5447589317331
2764705.9317121394,-135.39909768752972
2770588.2847583354,-134.06912619091105
2776470.6378045315,-144.84411944296474
2782352.9908507275,-139.34281481204542
2788235.3438969236,-135.49886779081632
2794117.6969431196,-145.557718212668
2800000.0499893157,-135.773896380539
2805882.4030355117,-132.3508865026029
2811764.756081708,-130.69662014281852
2817647.109127904,-129.77488775865018
2823529.4621741,-130.10526183772956
2829411.815220296,-129.69193471980728
2835294.168266492,-129.65698758988876
2841176.521312688,-139.99457579349342
2847058.874358884,-134.91249278641786
2852941.22740508,-128.48911368889947
2858823.580451276,-128.63497625171917
2864705.933497472,-129.95159370570187
2870588.2865436682,-129.7619864029991
2876470.6395898643,-134.30120424646537
2882352.9926360603,-132.87480633092397
2888235.3456822564,-132.67173847216495
2894117.6987284524,-138.5622091607581
2900000.0517746485,-150.91370000672217
2905882.4048208445,-140.84536896196926
2911764.7578670406,-140.04140065776016
2917647.1109132366,-139.3732664553589
2923529.4639594327,-136.7918762660546
2929411.8170056287,-131.36053514616475
2935294.1700518248,-132.69204292454825
2941176.523098021,-133.70239997739486
2947058.876144217,-130.86035756517222
2952941.229190413,-132.64259095205756
2958823.582236609,-138.91819165543674
2964705.935282805,-149.8964439660421
2970588.288329001,-136.34307175769922
2976470.641375197,-144.26304444187164
2982352.994421393,-140.35756384419773
2988235.347467589,-136.54115787377438
2994117.7005137852,-143.85484351702533
3000000.0535599813,-138.1375968272004
3005882.4066061773,-136.30017756529833
3011764.7596523734,-142.81002623798724
3017647.1126985694,-136.7543050714205
3023529.4657447655,-130.60199276959784
3029411.8187909615,-131.89788670729382
3035294.1718371576,-133.52294166171095
3041176.5248833536,-139.51013516529474
3047058.8779295497,-143.47139676764576
3052941.2309757457,-144.02833005685642
3058823.5840219418,-132.5468295583333
3064705.937068138,-133.7677747854621
3070588.290114334,-147.8124896005031
3076470.64316053,-140.3325321681643
3082352.996206726,-151.6627731143319
3088235.349252922,-143.79546958019023
3094117.702299118,-137.08782903544008
3100000.055345314,-137.28262688746665
3105882.40839151,-138.5973140072458
3111764.761437706,-137.9494720733526
3117647.114483902,-144.16034062352304
3123529.4675300983,-146.350086276675
3129411.8205762943,-138.45991365867062
3135294.1736224904,-142.63406213235334
3141176.5266686864,-142.36417614085747
3147058.8797148825,-153.72076220421144
3152941.2327610785,-142.41798482696638
3158823.5858072746,-139.4257734438168
3164705.9388534706,-138.3517115344482
3170588.2918996667,-132.3087760985743
3176470.6449458627,-130.35081326482265
3182352.9979920588,-136.0263039970266
3188235.351038255,-141.94785868031792
3194117.704084451,-143.20859517684266
3200000.057130647,-141.58803537571615
3205882.410176843,-146.69172046358025
3211764.763223039,-143.3389399188144
3217647.116269235,-146.0653386541676
3223529.469315431,-146.9313792977308
3229411.822361627,-141.41880944889684
3235294.175407823,-140.76222519714761
3241176.528454019,-145.01937084711562
3247058.8815002153,-142.51502489554548
