edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_µs
310,0.023367297716920678,0.02336675785857641,5.398583442672859e-07,0.5398583442672859
311,0.023400647433573927,0.023400093684514036,5.537490598901688e-07,0.5537490598901688
312,0.02343400138430268,0.023433429510451662,5.718738510164527e-07,0.5718738510164526
313,0.023467351091695784,0.02346676533638929,5.857553064946012e-07,0.5857553064946012
314,0.02350070447644937,0.023500101162326915,6.033141224548459e-07,0.6033141224548458
315,0.023534054298715357,0.023533436988264538,6.173104508185038e-07,0.6173104508185038
316,0.023567407911353647,0.023566772814202164,6.350971514829111e-07,0.635097151482911
317,0.023600757729609397,0.02360010864013979,6.490894696065123e-07,0.6490894696065123
318,0.02363411277847795,0.023633444466077413,6.683124005375799e-07,0.6683124005375799
319,0.023667462626217512,0.02366678029201504,6.82334202472407e-07,0.682334202472407
320,0.023700816763767913,0.023700116117952665,7.006458152471199e-07,0.7006458152471199
321,0.023734166633331475,0.02373345194389029,7.146894411828867e-07,0.7146894411828867
322,0.023767522555288582,0.023766787769827918,7.34785460663329e-07,0.734785460663329
323,0.023800872413444585,0.023800123595765544,7.488176790401705e-07,0.7488176790401705
324,0.02383422751232582,0.02383345942170317,7.680906226492649e-07,0.7680906226492649
325,0.023867577327087153,0.023866795247640796,7.820794463563045e-07,0.7820794463563044
326,0.023900933942875836,0.02390013107357842,8.028692974157429e-07,0.8028692974157429
327,0.023934283740735737,0.023933466899516045,8.168412196911394e-07,0.8168412196911393
328,0.02396763898093576,0.023966802725453668,8.362554820902372e-07,0.8362554820902371
329,0.024000987985933444,0.024000138551391294,8.494345421487807e-07,0.8494345421487807
330,0.024034319653549224,0.02403347437732892,8.452762203021994e-07,0.8452762203021994
331,0.024067653934138716,0.024066810203266547,8.437308721680196e-07,0.8437308721680196
332,0.024100978545951827,0.024100146029204173,8.325167476536114e-07,0.8325167476536114
333,0.024134308860134762,0.0241334818551418,8.270049929620664e-07,0.8270049929620663
334,0.024167644111836282,0.024166817681079426,8.264307568554844e-07,0.8264307568554844
335,0.024200980416945555,0.024200153507017052,8.2690992850229e-07,0.82690992850229
336,0.024234307610655367,0.024233489332954675,8.182777006912615e-07,0.8182777006912615
337,0.024267639265865164,0.0242668251588923,8.14106972862189e-07,0.8141069728621889
338,0.024300980165468868,0.024300160984829927,8.191806389397375e-07,0.8191806389397375
339,0.024334319328037368,0.02433349681076755,8.225172698175802e-07,0.8225172698175801
340,0.024367654382471994,0.024366832636705176,8.217457668172061e-07,0.821745766817206
341,0.024400989809739405,0.024400168462642802,8.213470966023099e-07,0.8213470966023099
342,0.02443431229059088,0.02443350428858043,8.080020104515865e-07,0.8080020104515865
343,0.02446763935843815,0.024466840114518055,7.992439200944782e-07,0.7992439200944782
344,0.024500970713317027,0.02450017594045568,7.9477286134555e-07,0.7947728613455499
345,0.02453430358231898,0.024533511766393307,7.918159256735395e-07,0.7918159256735394
346,0.024567643531902883,0.024566847592330934,7.959395719486788e-07,0.7959395719486787
347,0.024600981783373926,0.024600183418268556,7.983651053686262e-07,0.7983651053686261
348,0.024634306598367104,0.024633519244206183,7.873541609207394e-07,0.7873541609207394
349,0.024667635645169557,0.024666855070143805,7.805750257508519e-07,0.7805750257508518
350,0.024700969617133445,0.02470019089608143,7.787210520124325e-07,0.7787210520124325
351,0.024734303865419888,0.024733526722019058,7.771434008291282e-07,0.7771434008291281
352,0.024767643386385537,0.024766862547956684,7.808384288522656e-07,0.7808384288522655
353,0.02480098061538608,0.02480019837389431,7.822414917681157e-07,0.7822414917681156
354,0.024834308159229494,0.024833534199831937,7.739593975562846e-07,0.7739593975562845
355,0.02486763821019538,0.024866870025769563,7.68184425815888e-07,0.768184425815888
356,0.024900974641143273,0.02490020585170719,7.687894360834672e-07,0.7687894360834672
357,0.024934309595574636,0.024933541677644812,7.679179298239473e-07,0.7679179298239472
358,0.024967646162756776,0.024966877503582438,7.686591743376329e-07,0.7686591743376329
359,0.025000981931416102,0.025000213329520064,7.686018960374745e-07,0.7686018960374744
360,0.025034309209812023,0.025033549155457687,7.60054354335266e-07,0.7600543543352659
361,0.02506763861841943,0.025066884981395313,7.536370241159611e-07,0.753637024115961
362,0.025100975182438534,0.02510022080733294,7.543751055938412e-07,0.7543751055938411
363,0.02513431019139537,0.025133556633270566,7.535581248017957e-07,0.7535581248017956
364,0.025167641198656894,0.025166892459208192,7.48739448701297e-07,0.7487394487012969
365,0.025200972357052275,0.02520022828514582,7.440719064562288e-07,0.7440719064562288
366,0.025234301172205004,0.025233564111083445,7.370611215591631e-07,0.737061121559163
367,0.025267630974761295,0.02526689993702107,7.310377402237892e-07,0.7310377402237892
